AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,EulerX,EulerY,EulerZ,q0,q1,q2,q3
0.21465899,0.033611,-0.991982,-4.9175,1.2162501,-0.00875,0.1778,-0.08372,1.03656,-176.27881,11.843824,-8.451405,0.024608271,0.99168336,-0.06991304,0.105217844
0.21465899,0.033611,-0.991982,-4.9175,1.2162501,-0.00875,0.17598,-0.0833,1.03418,-176.28688,11.838727,-8.433735,0.024558095,0.9917003,-0.06976929,0.10516507
0.212585,0.035074998,-0.990213,-5.04,1.12,0.0175,0.17626001,-0.081480004,1.0332,-176.26811,11.760206,-8.401059,0.024802653,0.99178463,-0.06949656,0.104490206
0.212585,0.035074998,-0.990213,-5.04,1.12,0.0175,0.17822,-0.0798,1.03768,-176.31453,11.741823,-8.354017,0.024455918,0.9918391,-0.06913805,0.10429299
0.211731,0.035685,-0.99070096,-4.8125,1.3037499,0.11374999,0.1736,-0.08022,1.03782,-176.28416,11.703171,-8.322529,0.024772896,0.99188507,-0.0688512,0.10397011
0.211731,0.035685,-0.99070096,-4.8125,1.3037499,0.11374999,0.18032001,-0.08414,1.0299801,-176.22087,11.69121,-8.314035,0.025336431,0.9918867,-0.06872442,0.103902765
0.216489,0.034953,-0.99515396,-4.5412498,1.4612498,0.105,0.17948,-0.079100005,1.03558,-176.3499,11.855056,-8.267783,0.024154266,0.9917994,-0.06838528,0.10523305
0.211914,0.031415,-0.992287,-4.7424994,1.3037499,-0.02625,0.17836,-0.0819,1.02956,-176.43703,11.755997,-8.244606,0.023485944,0.99191797,-0.06829771,0.104319274
0.211914,0.031415,-0.992287,-4.7424994,1.3037499,-0.02625,0.17850001,-0.08428,1.0332,-176.39186,11.726633,-8.2534685,0.023888009,0.9919289,-0.06834317,0.10409397
0.209779,0.035868,-0.987773,-4.92625,1.2249999,0.105,0.1729,-0.08568,1.0316601,-176.16571,11.641269,-8.274951,0.025882062,0.9919408,-0.06835374,0.10349494
0.209779,0.035868,-0.987773,-4.92625,1.2249999,0.105,0.17836,-0.082600005,1.0361401,-176.25584,11.621906,-8.240553,0.02514544,0.9919982,-0.06814411,0.10326605
0.215025,0.037332,-0.993263,-4.7774997,1.26,0.035,0.17346,-0.07462,1.0367,-176.32771,11.778705,-8.173715,0.024482055,0.99191743,-0.067576796,0.104565695
0.211365,0.038429998,-0.9882,-4.3224998,1.2774999,-0.0525,0.18144001,-0.078820005,1.03222,-176.2409,11.715229,-8.120207,0.02532321,0.9919851,-0.067056395,0.10405587
0.211365,0.038429998,-0.9882,-4.3224998,1.2774999,-0.0525,0.17598,-0.07994,1.03222,-176.2145,11.699837,-8.074574,0.02560308,0.9920193,-0.06664279,0.10392793
0.215757,0.028853,-0.99027395,-4.69,1.2949998,-0.20124999,0.17528,-0.082880005,1.0332,-176.51555,11.903956,-8.060639,0.022879332,0.9919124,-0.06672833,0.10551594
0.215757,0.028853,-0.99027395,-4.69,1.2949998,-0.20124999,0.17752,-0.07952,1.02354,-176.56093,11.960383,-8.053215,0.022457454,0.9918757,-0.0666876,0.105976276
0.211182,0.040992,-0.989115,-4.1037498,1.05875,-0.38499996,0.17794001,-0.078540005,1.03334,-176.14403,11.733452,-8.012006,0.026248509,0.9920104,-0.06602532,0.10424543
